Rank,Team,Conf,Wins,Losses,Net_Rtng,Adj_OffE,Adj_OffE_rnk,Adj_DefE,Adj_Def_rnk,Adj_Tempo,Adj_Tempo_rnk,Luck_rting,Luck_rnk,SOS_Net_rtng,SOS_rnk,Avg_Opp_Adj_OffE,Opp_Adj_OffE_rnk,Avg_Opp_Adj_DefE,Opp_Adj_DefE,NCSOS_rtng,NCSOS_rnk,Conf_tournament_winner
1,Duke,ACC,31,3,38.15,128,3,89.8,4,65.7,266,-0.019,229,10.03,56,112.4,48,102.4,63,9.3,21,TRUE
2,Florida,SEC,30,4,36.16,128.6,1,92.4,10,69.6,59,0.007,159,14.42,17,114.5,17,100,19,-2.02,234,TRUE
3,Houston,B12,30,4,35.44,123.2,10,87.8,2,61.4,360,0.015,137,13.66,24,113.5,34,99.9,17,2.56,100,TRUE
4,Auburn,SEC,28,5,35.05,128.4,2,93.4,12,67.6,153,0.03,100,18.97,2,117.1,2,98.1,2,10.08,19,
5,Tennessee,SEC,27,7,31.15,120.3,18,89.1,3,63.6,346,0.016,134,15.95,6,116.6,4,100.7,32,-0.88,202,
6,Alabama,SEC,25,8,29.93,126.5,4,96.6,32,74.9,1,0.029,103,19.49,1,118.2,1,98.7,3,11.76,10,
7,Texas Tech,B12,25,8,28.05,125.3,6,97.2,37,65.4,281,-0.045,293,11.25,50,111.8,57,100.6,31,-4.63,306,
8,Michigan St.,B10,27,6,27.57,118.1,27,90.6,5,67.7,144,-0.009,206,13.34,27,114.2,24,100.8,39,0.33,160,
9,Gonzaga,WCC,25,8,27.29,123.6,9,96.3,29,70.2,46,-0.074,341,7,72,110.8,74,103.8,81,8.87,23,TRUE
10,Iowa St.,B12,24,9,26.99,119.4,20,92.4,9,68.6,102,-0.048,298,12.62,36,113.3,38,100.7,38,-0.89,205,
11,St. John's,BE,30,4,26.38,113.9,65,87.5,1,70.1,49,-0.019,232,9.11,61,111.8,60,102.7,65,0,169,TRUE
12,Maryland,B10,25,8,26.35,118.1,28,91.8,6,69.8,56,-0.038,280,10.93,52,113,42,102.1,56,-10.47,359,
13,Wisconsin,B10,26,9,25.98,122,13,96,27,67.6,152,-0.033,270,13.86,22,114.2,22,100.4,26,-0.16,178,
14,Arizona,B12,22,12,25.73,122.5,12,96.8,33,69.9,54,-0.049,303,16.38,4,115.2,7,98.8,4,5.09,50,
15,Missouri,SEC,22,11,24.42,125.3,5,100.9,73,68.2,121,-0.048,297,13.03,32,113.7,26,100.7,37,-9.41,355,
16,Kentucky,SEC,22,11,24.26,123.8,8,99.5,57,70.9,23,0.007,157,17.84,3,116.8,3,99,6,3.71,76,
17,Texas A&M,SEC,22,10,24.08,116.2,44,92.1,7,66.1,237,0.001,176,16.14,5,115.5,5,99.3,10,7.04,40,
18,Clemson,ACC,27,6,23.93,118.7,24,94.7,16,64.2,327,-0.032,267,8.3,68,111.4,63,103.1,74,3.68,78,
